,text
0,[]
1,[]
2,"['the discourse', 'discourse on', 'on the', 'the arousing', 'arousing of', 'of mindfulness', 'mindfulness satipatthana', 'satipatthana sutta', 'sutta majjhima', 'majjhima nikaya', 'nikaya no', ' and', 'and digha', 'digha nikaya', 'nikaya no', ' and', 'and the', 'the excerpts', 'excerpts from', 'from its', 'its commentary', 'commentary given', 'given here', 'here deal', 'deal with', 'with the', 'the method', 'method of', 'of training', 'training for', 'for insight', 'insight vipassana', 'vipassana according', 'according to', 'to the', 'the buddhas', 'buddhas teaching']"
3,[]
4,"['insight is', 'is the', 'the understanding', 'understanding of', 'of the', 'the true', 'true nature', 'nature of', 'of things', 'things by', 'by which', 'which a', 'a complete', 'complete transfiguring', 'transfiguring of', 'of mental', 'mental life', 'life takes', 'takes place', 'place in', 'in the', 'the seer', 'seer and', 'and by', 'by which', 'which he', 'he is', 'is lifted', 'lifted out', 'out of', 'of the', 'the groove', 'groove of', 'of birth', 'birth and', 'and death', 'death the', 'the understanding', 'understanding of', 'of the', 'the nature', 'nature of', 'of things', 'things is', 'is the', 'the sure', 'sure knowledge', 'knowledge of', 'of the', 'the transience', 'transience and', 'and subjection', 'subjection to', 'to sorrow', 'sorrow of', 'of all', 'all component', 'component things', 'things and', 'and of', 'of the', 'the emptiness', 'emptiness of', 'of all', 'all things', 'things as', 'as regards', 'regards ens', 'ens self', 'self or', 'or essence', 'essence this', 'this last', 'last knowledge', 'knowledge of', 'of the', 'the essential', 'essential emptiness', 'emptiness of', 'of all', 'all things', 'things is', 'is called', 'called the', 'the realization', 'realization of', 'of the', 'the supreme', 'supreme void', 'void by', 'by it', 'it the', 'the conception', 'conception of', 'of a', 'a self', 'self and', 'and the', 'the craving', 'craving and', 'and suffering', 'suffering which', 'which spring', 'spring from', 'from that', 'that conception', 'conception are', 'are abandoned', 'abandoned it', 'it marks', 'marks the', 'the limit', 'limit of', 'of the', 'the spiritually', 'spiritually attainable', 'attainable in', 'in the', 'the buddhas', 'buddhas dispensation', 'dispensation by', 'by it', 'it is', 'is accomplished', 'accomplished emancipation', 'emancipation from', 'from all', 'all bondage', 'bondage to', 'to ignorance', 'ignorance and', 'and the', 'the attainment', 'attainment of', 'of the', 'the highest', 'highest happiness', 'happiness in', 'in the', 'the way', 'way of', 'of analytical', 'analytical knowledge', 'knowledge patisambhida', 'patisambhida magga', 'magga it', 'it is', 'is said', 'said what', 'what is', 'is the', 'the supreme', 'supreme void', 'void the', 'the quieting', 'quieting of', 'of all', 'all kammical', 'kammical conformations', 'conformations the', 'the giving', 'giving up', 'up of', 'of all', 'all clinging', 'clinging to', 'to rebirth', 'rebirth detachment', 'detachment cessation', 'cessation nibbana', 'nibbana ', ' this', 'this is', 'is the', 'the supreme', 'supreme void', 'void the', 'the way', 'way of', 'of the', 'the arousing', 'arousing of', 'of mindfulness', 'mindfulness satipatthana', 'satipatthana magga', 'magga is', 'is for', 'for reaching', 'reaching that', 'that summum', 'summum bonum', 'bonum of', 'of the', 'the buddhas']"
5,[]
6,"['mindfulness is', 'is said', 'said to', 'to have', 'have nonsuperficiality', 'nonsuperficiality as', 'as its', 'its salient', 'salient characteristic', 'characteristic the', 'the absence', 'absence of', 'of confusion', 'confusion as', 'as its', 'its function', 'function and', 'and the', 'the state', 'state of', 'of being', 'being turned', 'turned towards', 'towards the', 'the object', 'object as', 'as its', 'its manifestation', 'manifestation it', 'it is', 'is also', 'also called', 'called the', 'the nonnegligence', 'nonnegligence appamada', 'appamada which', 'which indicates', 'indicates the', 'the state', 'state of', 'of unremitting', 'unremitting alertness', 'alertness of', 'of the', 'the yogavacara', 'yogavacara the', 'the proficient', 'proficient in', 'in spiritual', 'spiritual endeavor']"
7,[]
8,"['clear and', 'and strong', 'strong mindfulness', 'mindfulness is', 'is conjoined', 'conjoined with', 'with wisdom', 'wisdom and', 'and is', 'is called', 'called the', 'the prudence', 'prudence of', 'of mindfulness', 'mindfulness sati', 'sati nepakkam', 'nepakkam it', 'it is', 'is then', 'then pure', 'pure cognition', 'cognition the', 'the cognition', 'cognition which', 'which is', 'is free', 'free from', 'from discrimination', 'discrimination that', 'that proceeds', 'proceeds from', 'from delusion', 'delusion it', 'it is', 'is such', 'such cognition', 'cognition that', 'that is', 'is indicated', 'indicated in', 'in the', 'the teaching', 'teaching of', 'of the', 'the buddha', 'buddha to', 'to bahiya', 'bahiya daruciriya', 'daruciriya which', 'which says', 'says that', 'that to', 'to one', 'one there', 'there must', 'must be', 'be in', 'in what', 'what is', 'is seen', 'seen just', 'just the', 'the seen', 'seen in', 'in the', 'the heard', 'heard just', 'just the', 'the heard', 'heard in', 'in the', 'the contacted', 'contacted just', 'just the', 'the contacted', 'contacted in', 'in the', 'the apperceived', 'apperceived just', 'just the', 'the apperceived', 'apperceived so', 'so that', 'that one', 'one may', 'may be', 'be free', 'free from', 'from lust', 'lust hatred', 'hatred and', 'and delusion', 'delusion and', 'and from', 'from bondage', 'bondage to', 'to this', 'this or', 'or any', 'any other', 'other world']"
9,[]
